Address;LOT_OPERATOR;Geom;Geo Local Area;geo_point_2d
4575 Clancy Loranger Way;Park Board;"{""coordinates"": [-123.106551, 49.243681], ""type"": ""Point""}";Riley Park;49.243681, -123.106551
701 W. Georgia St.;Easy Park Lot;"{""coordinates"": [-123.1173, 49.283672], ""type"": ""Point""}";Downtown;49.283672, -123.1173
Beach Ave. @ Broughton St;Easy Park / Park Board;"{""coordinates"": [-123.139793, 49.281483], ""type"": ""Point""}";West End;49.281483, -123.139793
1305 Arbutus St;City of Vancouver;"{""coordinates"": [-123.152654, 49.273797], ""type"": ""Point""}";Kitsilano;49.273797, -123.152654
4575 Clancy Loranger Way;Park Board;"{""coordinates"": [-123.106617, 49.243665], ""type"": ""Point""}";Riley Park;49.243665, -123.106617
1100 Granville St;Best Western;"{""coordinates"": [-123.124668, 49.277692], ""type"": ""Point""}";Downtown;49.277692, -123.124668
1001 Cotton Dr;Park Board;"{""coordinates"": [-123.071246, 49.276066], ""type"": ""Point""}";Grandview-Woodland;49.276066, -123.071246
225 N Renfrew St;Pacific National Exhibition;"{""coordinates"": [-123.043494521322, 49.286384777239], ""type"": ""Point""}";Hastings-Sunrise;49.286384777239, -123.043494521322
453 W. 12th Ave;City of Vancouver;"{""coordinates"": [-123.11374, 49.26122], ""type"": ""Point""}";Mount Pleasant;49.26122, -123.11374
646 E. 44th Ave;City of Vancouver;"{""coordinates"": [-123.091360028172, 49.2297756397356], ""type"": ""Point""}";Sunset;49.2297756397356, -123.091360028172
5175 Dumfries St;City of Vancouver;"{""coordinates"": [-123.075332641601, 49.2385597229003], ""type"": ""Point""}";Kensington-Cedar Cottage;49.2385597229003, -123.075332641601
6260 Killarney St;City of Vancouver;"{""coordinates"": [-123.044818, 49.226968], ""type"": ""Point""}";Killarney;49.226968, -123.044818
2099 Beach Ave;City of Vancouver;"{""coordinates"": [-123.14499, 49.291028], ""type"": ""Point""}";;49.291028, -123.14499
2099 Beach Ave;City of Vancouver;"{""coordinates"": [-123.145062, 49.291042], ""type"": ""Point""}";;49.291042, -123.145062
1200 Thorton St;City of Vancouver;"{""coordinates"": [-123.09242, 49.274598], ""type"": ""Point""}";Strathcona;49.274598, -123.09242
1200 Thorton St;City of Vancouver;"{""coordinates"": [-123.092452, 49.27454], ""type"": ""Point""}";Strathcona;49.27454, -123.092452
1664 E. 11th;City of Vancouver;"{""coordinates"": [-123.070249, 49.260433], ""type"": ""Point""}";Kensington-Cedar Cottage;49.260433, -123.070249
3360 Victoria Dr;City of Vancouver;"{""coordinates"": [-123.065749, 49.256637], ""type"": ""Point""}";Kensington-Cedar Cottage;49.256637, -123.065749
3360 Victoria Dr;City of Vancouver;"{""coordinates"": [-123.06573, 49.256591], ""type"": ""Point""}";Kensington-Cedar Cottage;49.256591, -123.06573
3360 Victoria Dr;City of Vancouver;"{""coordinates"": [-123.065717, 49.256537], ""type"": ""Point""}";Kensington-Cedar Cottage;49.256537, -123.065717
Beach Ave. @ Cardero St;Easy Park / Park Board;"{""coordinates"": [-123.142173, 49.283155], ""type"": ""Point""}";West End;49.283155, -123.142173
1 Kingsway;Easypark;"{""coordinates"": [-123.1002054, 49.2641594], ""type"": ""Point""}";Mount Pleasant;49.2641594, -123.1002054
4575 Clancy Loranger Way;Park Board;"{""coordinates"": [-123.106578, 49.243665], ""type"": ""Point""}";Riley Park;49.243665, -123.106578
845 Avison Way;Vancouver Aquarium;"{""coordinates"": [-123.13022, 49.299534], ""type"": ""Point""}";;49.299534, -123.13022
273 E 53rd Ave;City of Vancouver;"{""coordinates"": [-123.100095218575, 49.222235022762], ""type"": ""Point""}";Sunset;49.222235022762, -123.100095218575
3311 E. Hastings;City of Vancouver;"{""coordinates"": [-123.033786, 49.281369], ""type"": ""Point""}";Hastings-Sunrise;49.281369, -123.033786
959-979 Mainland St;City of Vancouver;"{""coordinates"": [-123.119261061127, 49.2769232201811], ""type"": ""Point""}";Downtown;49.2769232201811, -123.119261061127
451 Beach Crescent;City of Vancouver;"{""coordinates"": [-123.12833, 49.272514], ""type"": ""Point""}";Downtown;49.272514, -123.12833
646 E. 44th Ave;City of Vancouver;"{""coordinates"": [-123.09135336453, 49.229928611422], ""type"": ""Point""}";Sunset;49.229928611422, -123.09135336453
5175 Dumfries St;City of Vancouver;"{""coordinates"": [-123.075485229492, 49.2385063171386], ""type"": ""Point""}";Kensington-Cedar Cottage;49.2385063171386, -123.075485229492
646 E. 44th Ave;City of Vancouver;"{""coordinates"": [-123.074953, 49.237778], ""type"": ""Point""}";Kensington-Cedar Cottage;49.237778, -123.074953
3350 Maquinna Dr;City of Vancouver;"{""coordinates"": [-123.032265, 49.215036], ""type"": ""Point""}";Killarney;49.215036, -123.032265
3350 Maquinna Dr;City of Vancouver;"{""coordinates"": [-123.032306, 49.215032], ""type"": ""Point""}";Killarney;49.215032, -123.032306
6260 Killarney St;City of Vancouver;"{""coordinates"": [-123.044804, 49.226948], ""type"": ""Point""}";Killarney;49.226948, -123.044804
6260 Killarney St;City of Vancouver;"{""coordinates"": [-123.044843, 49.226955], ""type"": ""Point""}";Killarney;49.226955, -123.044843
2099 Beach Ave;City of Vancouver;"{""coordinates"": [-123.145028, 49.291034], ""type"": ""Point""}";;49.291034, -123.145028
860 Richards St;City of Vancouver;"{""coordinates"": [-123.118962, 49.279351], ""type"": ""Point""}";Downtown;49.279351, -123.118962
860 Richards St;City of Vancouver;"{""coordinates"": [-123.118924, 49.279373], ""type"": ""Point""}";Downtown;49.279373, -123.118924
2221 Main St;Easypark;"{""coordinates"": [-123.101577, 49.265235], ""type"": ""Point""}";Mount Pleasant;49.265235, -123.101577
845 Avison Way;Vancouver Aquarium;"{""coordinates"": [-123.130229213422, 49.300472054096], ""type"": ""Point""}";;49.300472054096, -123.130229213422
Beach Ave. @ Bute St;Easy Park / Park Board;"{""coordinates"": [-123.137209, 49.278736], ""type"": ""Point""}";West End;49.278736, -123.137209
775 Hamilton St;Easypark;"{""coordinates"": [-123.115166014819, 49.2795168591257], ""type"": ""Point""}";Downtown;49.2795168591257, -123.115166014819
1 Kingsway;Easypark;"{""coordinates"": [-123.100173213491, 49.2641313946177], ""type"": ""Point""}";Mount Pleasant;49.2641313946177, -123.100173213491
272 E 53rd Ave;City of Vancouver;"{""coordinates"": [-123.10009, 49.222282], ""type"": ""Point""}";Sunset;49.222282, -123.10009
1025 W 49th Ave;Telus / Retailer;"{""coordinates"": [-123.129085, 49.226886], ""type"": ""Point""}";Oakridge;49.226886, -123.129085
959-979 Mainland St;City of Vancouver;"{""coordinates"": [-123.11887, 49.27684], ""type"": ""Point""}";Downtown;49.27684, -123.11887
453 W. 12th Ave;City of Vancouver;"{""coordinates"": [-123.11318, 49.261154], ""type"": ""Point""}";Mount Pleasant;49.261154, -123.11318
453 W. 12th Ave;City of Vancouver;"{""coordinates"": [-123.11318, 49.261093], ""type"": ""Point""}";Mount Pleasant;49.261093, -123.11318
456 Beach Crescent;City of Vancouver;"{""coordinates"": [-123.12836, 49.272594], ""type"": ""Point""}";Downtown;49.272594, -123.12836
646 E. 44th Ave;City of Vancouver;"{""coordinates"": [-123.091350766374, 49.229904302024], ""type"": ""Point""}";Sunset;49.229904302024, -123.091350766374
3350 Maquinna Dr;City of Vancouver;"{""coordinates"": [-123.032341, 49.215032], ""type"": ""Point""}";Killarney;49.215032, -123.032341
860 Richards St;City of Vancouver;"{""coordinates"": [-123.118908, 49.279403], ""type"": ""Point""}";Downtown;49.279403, -123.118908
1664 E. 11th;City of Vancouver;"{""coordinates"": [-123.070163, 49.26043], ""type"": ""Point""}";Kensington-Cedar Cottage;49.26043, -123.070163
